_id,_createdDate,_updatedDate,_owner,first_name,last_name,twin_name,membership_id,city,region,country,registry_date,source_file
0000000028,2025-12-04T18:33:17.675040,2025-12-04T18:33:17.675043,system,Carlos,Haddad,Orion Harbor,0000000028,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000029,2025-12-04T18:33:17.675059,2025-12-04T18:33:17.675062,system,Carlos,Ivanov,Cascade Forge,0000000029,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000030,2025-12-04T18:33:17.675077,2025-12-04T18:33:17.675081,system,Carlos,Johansson,Vertex Glyph,0000000030,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000031,2025-12-04T18:33:17.675097,2025-12-04T18:33:17.675100,system,Diana,Anderson,Prism Bridge,0000000031,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000032,2025-12-04T18:33:17.675116,2025-12-04T18:33:17.675119,system,Diana,Bennett,Zenith Canvas,0000000032,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000033,2025-12-04T18:33:17.675135,2025-12-04T18:33:17.675138,system,Diana,Chen,Ember Spark,0000000033,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000034,2025-12-04T18:33:17.675154,2025-12-04T18:33:17.675157,system,Diana,Dubois,Halo Portal,0000000034,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000035,2025-12-04T18:33:17.675173,2025-12-04T18:33:17.675176,system,Diana,Esposito,Celeste Vault,0000000035,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000036,2025-12-04T18:33:17.675192,2025-12-04T18:33:17.675195,system,Diana,Fernandez,Mosaic Field,0000000036,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000037,2025-12-04T18:33:17.675211,2025-12-04T18:33:17.675214,system,Diana,Garcia,Pulse Verse,0000000037,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000038,2025-12-04T18:33:17.675229,2025-12-04T18:33:17.675233,system,Diana,Haddad,Vector Garden,0000000038,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000039,2025-12-04T18:33:17.675250,2025-12-04T18:33:17.675254,system,Diana,Ivanov,Mirage Lab,0000000039,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000040,2025-12-04T18:33:17.675270,2025-12-04T18:33:17.675273,system,Diana,Johansson,Aurora Muse,0000000040,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000041,2025-12-04T18:33:17.675288,2025-12-04T18:33:17.675292,system,Ethan,Anderson,Quantum Node,0000000041,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000042,2025-12-04T18:33:17.675307,2025-12-04T18:33:17.675311,system,Ethan,Bennett,Echo Weaver,0000000042,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000043,2025-12-04T18:33:17.675326,2025-12-04T18:33:17.675330,system,Ethan,Chen,Nova Stream,0000000043,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000044,2025-12-04T18:33:17.675345,2025-12-04T18:33:17.675348,system,Ethan,Dubois,Nimbus Matrix,0000000044,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000045,2025-12-04T18:33:17.675364,2025-12-04T18:33:17.675368,system,Ethan,Esposito,Lumen Horizon,0000000045,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000046,2025-12-04T18:33:17.675383,2025-12-04T18:33:17.675387,system,Ethan,Fernandez,Atlas Beacon,0000000046,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000047,2025-12-04T18:33:17.675664,2025-12-04T18:33:17.675670,system,Ethan,Garcia,Solace Circuit,0000000047,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000048,2025-12-04T18:33:17.675690,2025-12-04T18:33:17.675694,system,Ethan,Haddad,Orion Harbor,0000000048,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000049,2025-12-04T18:33:17.675710,2025-12-04T18:33:17.675713,system,Ethan,Ivanov,Cascade Forge,0000000049,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000050,2025-12-04T18:33:17.675729,2025-12-04T18:33:17.675732,system,Ethan,Johansson,Vertex Glyph,0000000050,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000051,2025-12-04T18:33:17.675748,2025-12-04T18:33:17.675752,system,Fatima,Anderson,Prism Bridge,0000000051,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000052,2025-12-04T18:33:17.675767,2025-12-04T18:33:17.675771,system,Fatima,Bennett,Zenith Canvas,0000000052,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000053,2025-12-04T18:33:17.675786,2025-12-04T18:33:17.675790,system,Fatima,Chen,Ember Spark,0000000053,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000054,2025-12-04T18:33:17.675805,2025-12-04T18:33:17.675809,system,Fatima,Dubois,Halo Portal,0000000054,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000055,2025-12-04T18:33:17.675824,2025-12-04T18:33:17.675828,system,Fatima,Esposito,Celeste Vault,0000000055,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000056,2025-12-04T18:33:17.675843,2025-12-04T18:33:17.675846,system,Fatima,Fernandez,Mosaic Field,0000000056,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000057,2025-12-04T18:33:17.675862,2025-12-04T18:33:17.675866,system,Fatima,Garcia,Pulse Verse,0000000057,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000058,2025-12-04T18:33:17.675882,2025-12-04T18:33:17.675885,system,Fatima,Haddad,Vector Garden,0000000058,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000059,2025-12-04T18:33:17.675900,2025-12-04T18:33:17.675904,system,Fatima,Ivanov,Mirage Lab,0000000059,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000060,2025-12-04T18:33:17.675919,2025-12-04T18:33:17.675923,system,Fatima,Johansson,Aurora Muse,0000000060,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000061,2025-12-04T18:33:17.675939,2025-12-04T18:33:17.675942,system,George,Anderson,Quantum Node,0000000061,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000062,2025-12-04T18:33:17.675957,2025-12-04T18:33:17.675961,system,George,Bennett,Echo Weaver,0000000062,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000063,2025-12-04T18:33:17.675976,2025-12-04T18:33:17.675980,system,George,Chen,Nova Stream,0000000063,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000064,2025-12-04T18:33:17.675995,2025-12-04T18:33:17.675999,system,George,Dubois,Nimbus Matrix,0000000064,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000065,2025-12-04T18:33:17.676014,2025-12-04T18:33:17.676017,system,George,Esposito,Lumen Horizon,0000000065,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000066,2025-12-04T18:33:17.676033,2025-12-04T18:33:17.676037,system,George,Fernandez,Atlas Beacon,0000000066,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000067,2025-12-04T18:33:17.676052,2025-12-04T18:33:17.676056,system,George,Garcia,Solace Circuit,0000000067,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000068,2025-12-04T18:33:17.676071,2025-12-04T18:33:17.676075,system,George,Haddad,Orion Harbor,0000000068,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000069,2025-12-04T18:33:17.676090,2025-12-04T18:33:17.676093,system,George,Ivanov,Cascade Forge,0000000069,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000070,2025-12-04T18:33:17.676109,2025-12-04T18:33:17.676112,system,George,Johansson,Vertex Glyph,0000000070,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000071,2025-12-04T18:33:17.676128,2025-12-04T18:33:17.676131,system,Hana,Anderson,Prism Bridge,0000000071,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000072,2025-12-04T18:33:17.676147,2025-12-04T18:33:17.676150,system,Hana,Bennett,Zenith Canvas,0000000072,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000073,2025-12-04T18:33:17.676166,2025-12-04T18:33:17.676169,system,Hana,Chen,Ember Spark,0000000073,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000074,2025-12-04T18:33:17.676184,2025-12-04T18:33:17.676188,system,Hana,Dubois,Halo Portal,0000000074,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000075,2025-12-04T18:33:17.676203,2025-12-04T18:33:17.676207,system,Hana,Esposito,Celeste Vault,0000000075,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000076,2025-12-04T18:33:17.676222,2025-12-04T18:33:17.676226,system,Hana,Fernandez,Mosaic Field,0000000076,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000077,2025-12-04T18:33:17.676241,2025-12-04T18:33:17.676245,system,Hana,Garcia,Pulse Verse,0000000077,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000078,2025-12-04T18:33:17.676260,2025-12-04T18:33:17.676263,system,Hana,Haddad,Vector Garden,0000000078,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000079,2025-12-04T18:33:17.676279,2025-12-04T18:33:17.676282,system,Hana,Ivanov,Mirage Lab,0000000079,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000080,2025-12-04T18:33:17.676298,2025-12-04T18:33:17.676301,system,Hana,Johansson,Aurora Muse,0000000080,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000081,2025-12-04T18:33:17.676317,2025-12-04T18:33:17.676320,system,Isaac,Anderson,Quantum Node,0000000081,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000082,2025-12-04T18:33:17.676336,2025-12-04T18:33:17.676339,system,Isaac,Bennett,Echo Weaver,0000000082,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000083,2025-12-04T18:33:17.676354,2025-12-04T18:33:17.676358,system,Isaac,Chen,Nova Stream,0000000083,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000084,2025-12-04T18:33:17.676373,2025-12-04T18:33:17.676377,system,Isaac,Dubois,Nimbus Matrix,0000000084,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000085,2025-12-04T18:33:17.676392,2025-12-04T18:33:17.676396,system,Isaac,Esposito,Lumen Horizon,0000000085,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000086,2025-12-04T18:33:17.676411,2025-12-04T18:33:17.676415,system,Isaac,Fernandez,Atlas Beacon,0000000086,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000087,2025-12-04T18:33:17.676430,2025-12-04T18:33:17.676434,system,Isaac,Garcia,Solace Circuit,0000000087,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000088,2025-12-04T18:33:17.676449,2025-12-04T18:33:17.676453,system,Isaac,Haddad,Orion Harbor,0000000088,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000089,2025-12-04T18:33:17.676468,2025-12-04T18:33:17.676472,system,Isaac,Ivanov,Cascade Forge,0000000089,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000090,2025-12-04T18:33:17.676487,2025-12-04T18:33:17.676490,system,Isaac,Johansson,Vertex Glyph,0000000090,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000091,2025-12-04T18:33:17.676506,2025-12-04T18:33:17.676510,system,Julia,Anderson,Prism Bridge,0000000091,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000092,2025-12-04T18:33:17.676528,2025-12-04T18:33:17.676534,system,Julia,Bennett,Zenith Canvas,0000000092,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000093,2025-12-04T18:33:17.676550,2025-12-04T18:33:17.676554,system,Julia,Chen,Ember Spark,0000000093,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000094,2025-12-04T18:33:17.676569,2025-12-04T18:33:17.676573,system,Julia,Dubois,Halo Portal,0000000094,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000095,2025-12-04T18:33:17.676747,2025-12-04T18:33:17.676753,system,Julia,Esposito,Celeste Vault,0000000095,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000096,2025-12-04T18:33:17.676773,2025-12-04T18:33:17.676777,system,Julia,Fernandez,Mosaic Field,0000000096,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000097,2025-12-04T18:33:17.676793,2025-12-04T18:33:17.676797,system,Julia,Garcia,Pulse Verse,0000000097,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000098,2025-12-04T18:33:17.676812,2025-12-04T18:33:17.676816,system,Julia,Haddad,Vector Garden,0000000098,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000099,2025-12-04T18:33:17.676831,2025-12-04T18:33:17.676834,system,Julia,Ivanov,Mirage Lab,0000000099,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000100,2025-12-04T18:33:17.676850,2025-12-04T18:33:17.676853,system,Julia,Johansson,Aurora Muse,0000000100,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000101,2025-12-04T18:33:17.676869,2025-12-04T18:33:17.676872,system,Kai,Anderson,Quantum Node,0000000101,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000102,2025-12-04T18:33:17.676888,2025-12-04T18:33:17.676891,system,Kai,Bennett,Echo Weaver,0000000102,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000103,2025-12-04T18:33:17.676907,2025-12-04T18:33:17.676910,system,Kai,Chen,Nova Stream,0000000103,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000104,2025-12-04T18:33:17.676926,2025-12-04T18:33:17.676929,system,Kai,Dubois,Nimbus Matrix,0000000104,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000105,2025-12-04T18:33:17.676945,2025-12-04T18:33:17.676948,system,Kai,Esposito,Lumen Horizon,0000000105,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000106,2025-12-04T18:33:17.676964,2025-12-04T18:33:17.676967,system,Kai,Fernandez,Atlas Beacon,0000000106,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000107,2025-12-04T18:33:17.676983,2025-12-04T18:33:17.676986,system,Kai,Garcia,Solace Circuit,0000000107,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000108,2025-12-04T18:33:17.677002,2025-12-04T18:33:17.677005,system,Kai,Haddad,Orion Harbor,0000000108,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000109,2025-12-04T18:33:17.677021,2025-12-04T18:33:17.677024,system,Kai,Ivanov,Cascade Forge,0000000109,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000110,2025-12-04T18:33:17.677040,2025-12-04T18:33:17.677043,system,Kai,Johansson,Vertex Glyph,0000000110,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000111,2025-12-04T18:33:17.677059,2025-12-04T18:33:17.677062,system,Lena,Anderson,Prism Bridge,0000000111,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000112,2025-12-04T18:33:17.677078,2025-12-04T18:33:17.677082,system,Lena,Bennett,Zenith Canvas,0000000112,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000113,2025-12-04T18:33:17.677097,2025-12-04T18:33:17.677101,system,Lena,Chen,Ember Spark,0000000113,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000114,2025-12-04T18:33:17.677116,2025-12-04T18:33:17.677120,system,Lena,Dubois,Halo Portal,0000000114,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000115,2025-12-04T18:33:17.677135,2025-12-04T18:33:17.677139,system,Lena,Esposito,Celeste Vault,0000000115,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000116,2025-12-04T18:33:17.677154,2025-12-04T18:33:17.677157,system,Lena,Fernandez,Mosaic Field,0000000116,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000117,2025-12-04T18:33:17.677173,2025-12-04T18:33:17.677176,system,Lena,Garcia,Pulse Verse,0000000117,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000118,2025-12-04T18:33:17.677192,2025-12-04T18:33:17.677195,system,Lena,Haddad,Vector Garden,0000000118,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000119,2025-12-04T18:33:17.677211,2025-12-04T18:33:17.677214,system,Lena,Ivanov,Mirage Lab,0000000119,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000120,2025-12-04T18:33:17.677230,2025-12-04T18:33:17.677234,system,Lena,Johansson,Aurora Muse,0000000120,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000121,2025-12-04T18:33:17.677250,2025-12-04T18:33:17.677253,system,Mohamed,Anderson,Quantum Node,0000000121,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000122,2025-12-04T18:33:17.677269,2025-12-04T18:33:17.677272,system,Mohamed,Bennett,Echo Weaver,0000000122,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000123,2025-12-04T18:33:17.677288,2025-12-04T18:33:17.677291,system,Mohamed,Chen,Nova Stream,0000000123,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000124,2025-12-04T18:33:17.677307,2025-12-04T18:33:17.677310,system,Mohamed,Dubois,Nimbus Matrix,0000000124,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000125,2025-12-04T18:33:17.677326,2025-12-04T18:33:17.677329,system,Mohamed,Esposito,Lumen Horizon,0000000125,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000126,2025-12-04T18:33:17.677345,2025-12-04T18:33:17.677349,system,Mohamed,Fernandez,Atlas Beacon,0000000126,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000127,2025-12-04T18:33:17.677364,2025-12-04T18:33:17.677368,system,Mohamed,Garcia,Solace Circuit,0000000127,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000128,2025-12-04T18:33:17.677384,2025-12-04T18:33:17.677387,system,Mohamed,Haddad,Orion Harbor,0000000128,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000129,2025-12-04T18:33:17.677403,2025-12-04T18:33:17.677406,system,Mohamed,Ivanov,Cascade Forge,0000000129,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000130,2025-12-04T18:33:17.677422,2025-12-04T18:33:17.677425,system,Mohamed,Johansson,Vertex Glyph,0000000130,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000131,2025-12-04T18:33:17.677441,2025-12-04T18:33:17.677445,system,Natalia,Anderson,Prism Bridge,0000000131,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000132,2025-12-04T18:33:17.677460,2025-12-04T18:33:17.677464,system,Natalia,Bennett,Zenith Canvas,0000000132,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000133,2025-12-04T18:33:17.677480,2025-12-04T18:33:17.677483,system,Natalia,Chen,Ember Spark,0000000133,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000134,2025-12-04T18:33:17.677498,2025-12-04T18:33:17.677502,system,Natalia,Dubois,Halo Portal,0000000134,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000135,2025-12-04T18:33:17.677518,2025-12-04T18:33:17.677521,system,Natalia,Esposito,Celeste Vault,0000000135,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000136,2025-12-04T18:33:17.677537,2025-12-04T18:33:17.677540,system,Natalia,Fernandez,Mosaic Field,0000000136,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000137,2025-12-04T18:33:17.677556,2025-12-04T18:33:17.677559,system,Natalia,Garcia,Pulse Verse,0000000137,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000138,2025-12-04T18:33:17.677575,2025-12-04T18:33:17.677578,system,Natalia,Haddad,Vector Garden,0000000138,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000139,2025-12-04T18:33:17.677594,2025-12-04T18:33:17.677598,system,Natalia,Ivanov,Mirage Lab,0000000139,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000140,2025-12-04T18:33:17.677613,2025-12-04T18:33:17.677616,system,Natalia,Johansson,Aurora Muse,0000000140,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000141,2025-12-04T18:33:17.677632,2025-12-04T18:33:17.677635,system,Owen,Anderson,Quantum Node,0000000141,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000142,2025-12-04T18:33:17.677651,2025-12-04T18:33:17.677655,system,Owen,Bennett,Echo Weaver,0000000142,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000143,2025-12-04T18:33:17.677785,2025-12-04T18:33:17.677791,system,Owen,Chen,Nova Stream,0000000143,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
0000000144,2025-12-04T18:33:17.677812,2025-12-04T18:33:17.677815,system,Owen,Dubois,Nimbus Matrix,0000000144,Toronto,,Toronto,04-12-2025,lifetime_registry_inclusion (13).html
0000000145,2025-12-04T18:33:17.677831,2025-12-04T18:33:17.677835,system,Owen,Esposito,Lumen Horizon,0000000145,ON,,ON,04-12-2025,lifetime_registry_inclusion (13).html
0000000146,2025-12-04T18:33:17.677850,2025-12-04T18:33:17.677854,system,Owen,Fernandez,Atlas Beacon,0000000146,Canada,,Canada,04-12-2025,lifetime_registry_inclusion (13).html
